#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
PER,Peru,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.12886,2017
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",66.21,2017
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",393.2590491,2017
PER,Peru,194906,GDP per capita (2017 PPP $),12506.53017,2017
PER,Peru,195206,Population using safely managed sanitation services (%),43,2017
PER,Peru,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.675117695,2017
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),11931.12969,2017
PER,Peru,195906,"Domestic material consumption per capita, (tonnes)",15.39608,2017
PER,Peru,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",67.82,2017
PER,Peru,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",20.61,2017
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),62.85866333,2016
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",57.70931,2016
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",68.09737667,2016
PER,Peru,24106,"Mean years of schooling, female (years)",8.659,2016
PER,Peru,24206,"Mean years of schooling, male (years)",9.6686,2016
PER,Peru,31706,Share of seats in parliament (% held by women),27.69230769,2016
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",60.959,2016
PER,Peru,43006,Vulnerable employment (% of total employment),50.488,2016
PER,Peru,43606,"Internet users, total (% of population)",45.4617,2016
PER,Peru,44206,Total population (millions),30.926036,2016
PER,Peru,45106,Urban population (%),77.5,2016
PER,Peru,46006,Mobile phone subscriptions (per 100 people),119.424,2016
PER,Peru,46106,Primary school dropout rate (% of primary school cohort),6.90646,2016
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",18.31765,2016
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",67.95,2016
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",82.783,2016
PER,Peru,52306,Research and development expenditure (% of GDP),0.12007,2016
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.5028387,2016
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",3.5118261,2016
PER,Peru,57206,"Mortality rate, infant (per 1,000 live births)",12.002043,2016
PER,Peru,57506,"Mortality rate, under-five (per 1,000 live births)",15.461275,2016
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",93.364,2016
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",151.637,2016
PER,Peru,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2016
PER,Peru,61006,"Homicide rate (per 100,000 people)",7.87362467,2016
PER,Peru,63106,Population ages 15–64 (millions),20.20776,2016
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.06028,2016
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",101.96287,2016
PER,Peru,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",71.13299,2016
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",12,2016
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",6,2016
PER,Peru,65606,Gross fixed capital formation (% of GDP),21.44694504,2016
PER,Peru,68606,Gender Inequality Index (GII),0.408,2016
PER,Peru,69206,Life expectancy at birth (years),76.044,2016
PER,Peru,69706,Expected years of schooling (years),14.59155,2016
PER,Peru,71406,Inequality-adjusted education index,0.602295447,2016
PER,Peru,71506,Inequality-adjusted life expectancy index,0.748335701,2016
PER,Peru,71606,Inequality-adjusted income index,0.508223354,2016
PER,Peru,73506,Overall loss in HDI due to inequality (%),20,2016
PER,Peru,89006,"Maternal mortality ratio (deaths per 100,000 live births)",91,2016
PER,Peru,97106,Fresh water withdrawals (% of total renewable water resources),0.8564,2016
PER,Peru,97306,Natural resource depletion (% of GNI),4.611368997,2016
PER,Peru,99106,Net official development assistance received (% of GNI),0.17407988,2016
PER,Peru,100806,Forest area (% of total land area),57.66046753,2016
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",94.17367,2016
PER,Peru,101606,Inequality in education (%),16.1,2016
PER,Peru,101706,Inequality in income (%),29.6,2016
PER,Peru,101806,Inequality in life expectancy (%),13.2078,2016
PER,Peru,103006,Mean years of schooling (years),9.376565,2016
PER,Peru,103206,Life expectancy index,0.862215385,2016
PER,Peru,103606,Income index,0.721908174,2016
PER,Peru,103706,Education index,0.717873,2016
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",8.71,2016
PER,Peru,111106,International inbound tourists (thousands),3744,2016
PER,Peru,111306,Private capital flows (% of GDP),-3.461355,2016
PER,Peru,112506,"Suicide rate, male (per 100,000 people, age-standardized)",7.6,2016
PER,Peru,112606,"Suicide rate, female (per 100,000 people, age-standardized)",2.7,2016
PER,Peru,120606,"Life expectancy at birth, female (years)",78.759,2016
PER,Peru,121106,"Life expectancy at birth, male (years)",73.39,2016
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),41.474,2016
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),11.566,2016
PER,Peru,123306,"Expected years of schooling, female (years)",13.8709,2016
PER,Peru,123406,"Expected years of schooling, male (years)",13.5816,2016
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9637.392746,2016
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",14193.32112,2016
PER,Peru,128306,"Prison population (per 100,000 people)",272.2,2016
PER,Peru,132706,Population ages 65 and older (millions),2.337308,2016
PER,Peru,132806,Population under age 5 (millions),2.70833,2016
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",93.69795,2016
PER,Peru,133206,Exports and imports (% of GDP),45.388841,2016
PER,Peru,135006,Coefficient of human inequality,19.63593333,2016
PER,Peru,136906,"Human Development Index (HDI), female",0.738347877,2016
PER,Peru,137006,"Human Development Index (HDI), male",0.766451305,2016
PER,Peru,137506,Human Development Index (HDI),0.765,2016
PER,Peru,137906,Gender Development Index (GDI),0.963333054,2016
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.612,2016
PER,Peru,140606,"Unemployment, total (% of labour force)",3.535,2016
PER,Peru,147906,Youth not in school or employment (% ages 15-24),16.869,2016
PER,Peru,148206,Labour force participation rate (% ages 15 and older),75.252,2016
PER,Peru,148306,Employment to population ratio (% ages 15 and older),72.592,2016
PER,Peru,149206,Government expenditure on education (% of GDP),3.81294,2016
PER,Peru,150606,Employment in agriculture (% of total employment),28.375,2016
PER,Peru,150706,Employment in services (% of total employment),55.405,2016
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),11.485,2016
PER,Peru,164406,Adjusted net savings (% of GNI),8.1207055,2016
PER,Peru,169706,Total unemployment rate (female to male ratio),1.019697402,2016
PER,Peru,169806,Youth unemployment rate (female to male ratio),1.008644537,2016
PER,Peru,170006,Concentration index (exports) (value),0.281954303,2016
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",17.578902,2016
PER,Peru,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population, age-standardized)",64,2016
PER,Peru,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",1.3,2016
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.46670879,2016
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",76.2,2016
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",6,2016
PER,Peru,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",13.99528,2016
PER,Peru,177706,Survival rate to the last grade of lower secondary general education (%),92.81574,2016
PER,Peru,178306,Gross capital formation (% of GDP),22.021313,2016
PER,Peru,179406,Skilled labour force (% of labour force),55.6177,2016
PER,Peru,179706,Ratio of education and health expenditure to military expenditure,6.829468,2016
PER,Peru,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",35.61105,2016
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),92.4,2016
PER,Peru,181706,Rural population with access to electricity (%),77.974841,2016
PER,Peru,181806,Current health expenditure (% of GDP),5.063589,2016
PER,Peru,182106,"Malaria incidence (per 1,000 people at risk)",5.99642,2016
PER,Peru,182206,"Tuberculosis incidence (per 100,000 people)",120,2016
PER,Peru,182806,Population using safely managed drinking-water services (%),50,2016
PER,Peru,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",33.50206,2016
PER,Peru,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",66.49794,2016
PER,Peru,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",45.59999847,2016
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),58.62,2016
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.34298,2016
PER,Peru,185106,"Age-standardized mortality rate attributed to noncommunicable diseases, female",361.7,2016
PER,Peru,185206,"Age-standardized mortality rate attributed to noncommunicable diseases, male",477.6,2016
PER,Peru,185306,Percentage of primary schools with access to the internet,39.2,2016
PER,Peru,185406,Percentage of secondary schools with access to the internet,71.5,2016
PER,Peru,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.13875,2016
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",65.51,2016
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",383.5968751,2016
PER,Peru,194906,GDP per capita (2017 PPP $),12403.68875,2016
PER,Peru,195206,Population using safely managed sanitation services (%),41,2016
PER,Peru,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.821032197,2016
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),11899.54143,2016
PER,Peru,195906,"Domestic material consumption per capita, (tonnes)",15.26949,2016
PER,Peru,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",59.2,2016
PER,Peru,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",17.95,2016
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),62.24047,2015
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",57.09268,2015
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",67.45924,2015
PER,Peru,24106,"Mean years of schooling, female (years)",8.5759,2015
PER,Peru,24206,"Mean years of schooling, male (years)",9.6612,2015
PER,Peru,31706,Share of seats in parliament (% held by women),22.30769231,2015
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",62.318,2015
PER,Peru,43006,Vulnerable employment (% of total employment),50.064,2015
PER,Peru,43606,"Internet users, total (% of population)",40.8526,2015
PER,Peru,44206,Total population (millions),30.470739,2015
PER,Peru,45106,Urban population (%),77.4,2015
PER,Peru,46006,Mobile phone subscriptions (per 100 people),112.356,2015
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",17.9767,2015
PER,Peru,47906,Median age (years),27.494,2015
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",67.861,2015
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",83.773,2015
PER,Peru,49006,Sex ratio at birth (male to female births),1.05,2015
PER,Peru,52306,Research and development expenditure (% of GDP),0.11705,2015
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.4357147,2015
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",4.3802606,2015
PER,Peru,57206,"Mortality rate, infant (per 1,000 live births)",12.51853,2015
PER,Peru,57506,"Mortality rate, under-five (per 1,000 live births)",16.125323,2015
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",94.743,2015
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",153.397,2015
PER,Peru,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2015
PER,Peru,61006,"Homicide rate (per 100,000 people)",7.374287837,2015
PER,Peru,63106,Population ages 15–64 (millions),19.681869,2015
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",100.23685,2015
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",97.59813,2015
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",8,2015
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",3,2015
PER,Peru,65606,Gross fixed capital formation (% of GDP),23.08856814,2015
PER,Peru,68606,Gender Inequality Index (GII),0.425,2015
PER,Peru,69206,Life expectancy at birth (years),75.792,2015
PER,Peru,69706,Expected years of schooling (years),14.59460786,2015
PER,Peru,71406,Inequality-adjusted education index,0.565270544,2015
PER,Peru,71506,Inequality-adjusted life expectancy index,0.736172007,2015
PER,Peru,71606,Inequality-adjusted income index,0.50719662,2015
PER,Peru,73506,Overall loss in HDI due to inequality (%),21.60737813,2015
PER,Peru,89006,"Maternal mortality ratio (deaths per 100,000 live births)",94,2015
PER,Peru,97306,Natural resource depletion (% of GNI),3.72367548,2015
PER,Peru,99106,Net official development assistance received (% of GNI),0.18266165,2015
PER,Peru,100806,Forest area (% of total land area),57.79140625,2015
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",94.16234,2015
PER,Peru,101606,Inequality in education (%),20.3,2015
PER,Peru,101706,Inequality in income (%),29.5,2015
PER,Peru,101806,Inequality in life expectancy (%),14.2329,2015
PER,Peru,103006,Mean years of schooling (years),9.115262574,2015
PER,Peru,103206,Life expectancy index,0.858338462,2015
PER,Peru,103606,Income index,0.719427829,2015
PER,Peru,103706,Education index,0.70924786,2015
PER,Peru,110806,"Net migration rate (per 1,000 people)",-4.201,2015
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",6.752,2015
PER,Peru,111106,International inbound tourists (thousands),3456,2015
PER,Peru,111306,Private capital flows (% of GDP),-5.134388,2015
PER,Peru,112506,"Suicide rate, male (per 100,000 people, age-standardized)",7.6,2015
PER,Peru,112606,"Suicide rate, female (per 100,000 people, age-standardized)",2.7,2015
PER,Peru,120606,"Life expectancy at birth, female (years)",78.468,2015
PER,Peru,121106,"Life expectancy at birth, male (years)",73.169,2015
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),43.475,2015
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),11.341,2015
PER,Peru,123306,"Expected years of schooling, female (years)",13.8113,2015
PER,Peru,123406,"Expected years of schooling, male (years)",13.5539,2015
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9332.070212,2015
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",14111.42,2015
PER,Peru,128306,"Prison population (per 100,000 people)",259.9,2015
PER,Peru,132706,Population ages 65 and older (millions),2.232165,2015
PER,Peru,132806,Population under age 5 (millions),2.799873,2015
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",89.16901,2015
PER,Peru,133206,Exports and imports (% of GDP),45.162769,2015
PER,Peru,135006,Coefficient of human inequality,21.3443,2015
PER,Peru,136906,"Human Development Index (HDI), female",0.733723976,2015
PER,Peru,137006,"Human Development Index (HDI), male",0.76477101,2015
PER,Peru,137506,Human Development Index (HDI),0.759,2015
PER,Peru,137906,Gender Development Index (GDI),0.95940349,2015
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.595,2015
PER,Peru,140606,"Unemployment, total (% of labour force)",3,2015
PER,Peru,147906,Youth not in school or employment (% ages 15-24),18.452,2015
PER,Peru,148206,Labour force participation rate (% ages 15 and older),75.675,2015
PER,Peru,148306,Employment to population ratio (% ages 15 and older),73.405,2015
PER,Peru,149206,Government expenditure on education (% of GDP),3.9703,2015
PER,Peru,150606,Employment in agriculture (% of total employment),28.262,2015
PER,Peru,150706,Employment in services (% of total employment),55.167,2015
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),11.817,2015
PER,Peru,164406,Adjusted net savings (% of GNI),9.5892884,2015
PER,Peru,169706,Total unemployment rate (female to male ratio),0.976912929,2015
PER,Peru,169806,Youth unemployment rate (female to male ratio),0.891770011,2015
PER,Peru,170006,Concentration index (exports) (value),0.248317982,2015
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",13.325922,2015
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.40929954,2015
PER,Peru,175206,"Antenatal care coverage, at least one visit (%)",97,2015
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",74.6,2015
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",6.5,2015
PER,Peru,177706,Survival rate to the last grade of lower secondary general education (%),96.16609,2015
PER,Peru,178306,Gross capital formation (% of GDP),24.305114,2015
PER,Peru,179406,Skilled labour force (% of labour force),55.2231,2015
PER,Peru,179706,Ratio of education and health expenditure to military expenditure,5.224143,2015
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),91.6,2015
PER,Peru,181706,Rural population with access to electricity (%),76.692689,2015
PER,Peru,181806,Current health expenditure (% of GDP),5.025863,2015
PER,Peru,182106,"Malaria incidence (per 1,000 people at risk)",7.8491,2015
PER,Peru,182206,"Tuberculosis incidence (per 100,000 people)",122,2015
PER,Peru,182806,Population using safely managed drinking-water services (%),50,2015
PER,Peru,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",46.5,2015
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),60.27,2015
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.57782,2015
PER,Peru,185106,"Age-standardized mortality rate attributed to noncommunicable diseases, female",365.3,2015
PER,Peru,185206,"Age-standardized mortality rate attributed to noncommunicable diseases, male",483.2,2015
PER,Peru,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.13742,2015
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",67,2015
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",369.0087818,2015
PER,Peru,194906,GDP per capita (2017 PPP $),12110.26888,2015
PER,Peru,195206,Population using safely managed sanitation services (%),39,2015
PER,Peru,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.690481102,2015
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),11705.74565,2015
PER,Peru,195906,"Domestic material consumption per capita, (tonnes)",15.14239,2015
PER,Peru,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",62.23,2015
PER,Peru,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",17.33,2015
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),61.54794,2014
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",56.20445,2014
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",66.95919,2014
PER,Peru,24106,"Mean years of schooling, female (years)",8.9238,2014
PER,Peru,24206,"Mean years of schooling, male (years)",9.9354,2014
PER,Peru,31706,Share of seats in parliament (% held by women),22.30769231,2014
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",64.1646,2014
PER,Peru,43006,Vulnerable employment (% of total employment),50.641,2014
PER,Peru,43606,"Internet users, total (% of population)",40.2,2014
PER,Peru,44206,Total population (millions),30.090372,2014
PER,Peru,45106,Urban population (%),77.2,2014
PER,Peru,46006,Mobile phone subscriptions (per 100 people),105.948,2014
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",17.66104,2014
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",69.489,2014
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",84.442,2014
PER,Peru,52306,Research and development expenditure (% of GDP),0.10794,2014
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.3130874,2014
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",1.9572466,2014
PER,Peru,57206,"Mortality rate, infant (per 1,000 live births)",13.071889,2014
PER,Peru,57506,"Mortality rate, under-five (per 1,000 live births)",16.836501,2014
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",96.121,2014
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",155.156,2014
PER,Peru,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2014
PER,Peru,61006,"Homicide rate (per 100,000 people)",6.899216799,2014
PER,Peru,63106,Population ages 15–64 (millions),19.425186,2014
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",101.13567,2014
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",97.02095,2014
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",11,2014
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2014
PER,Peru,65606,Gross fixed capital formation (% of GDP),24.54051551,2014
PER,Peru,68606,Gender Inequality Index (GII),0.428,2014
PER,Peru,69206,Life expectancy at birth (years),75.529,2014
PER,Peru,69706,Expected years of schooling (years),14.57686235,2014
PER,Peru,71406,Inequality-adjusted education index,0.55140491,2014
PER,Peru,71506,Inequality-adjusted life expectancy index,0.735545677,2014
PER,Peru,71606,Inequality-adjusted income index,0.486656667,2014
PER,Peru,73506,Overall loss in HDI due to inequality (%),23.42105263,2014
PER,Peru,89006,"Maternal mortality ratio (deaths per 100,000 live births)",96,2014
PER,Peru,97306,Natural resource depletion (% of GNI),3.802395536,2014
PER,Peru,99106,Net official development assistance received (% of GNI),0.17125852,2014
PER,Peru,100806,Forest area (% of total land area),57.92234497,2014
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",93.70795,2014
PER,Peru,101606,Inequality in education (%),23.3,2014
PER,Peru,101706,Inequality in income (%),31.9,2014
PER,Peru,101806,Inequality in life expectancy (%),13.9,2014
PER,Peru,103006,Mean years of schooling (years),9.419951483,2014
PER,Peru,103206,Life expectancy index,0.854292308,2014
PER,Peru,103606,Income index,0.714620656,2014
PER,Peru,103706,Education index,0.718911226,2014
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",7.581,2014
PER,Peru,111106,International inbound tourists (thousands),3215,2014
PER,Peru,111306,Private capital flows (% of GDP),-0.490699,2014
PER,Peru,120606,"Life expectancy at birth, female (years)",78.161,2014
PER,Peru,121106,"Life expectancy at birth, male (years)",72.944,2014
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),43.968,2014
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),10.936,2014
PER,Peru,123306,"Expected years of schooling, female (years)",13.7518,2014
PER,Peru,123406,"Expected years of schooling, male (years)",13.5261,2014
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9262.112984,2014
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",13441.63589,2014
PER,Peru,128306,"Prison population (per 100,000 people)",245.4,2014
PER,Peru,132706,Population ages 65 and older (millions),2.12433,2014
PER,Peru,132806,Population under age 5 (millions),2.829828,2014
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",86.90344,2014
PER,Peru,133206,Exports and imports (% of GDP),46.853121,2014
PER,Peru,135006,Coefficient of human inequality,23.03333333,2014
PER,Peru,136906,"Human Development Index (HDI), female",0.735580843,2014
PER,Peru,137006,"Human Development Index (HDI), male",0.764257445,2014
PER,Peru,137506,Human Development Index (HDI),0.76,2014
PER,Peru,137906,Gender Development Index (GDI),0.962477824,2014
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.582,2014
PER,Peru,140606,"Unemployment, total (% of labour force)",2.962,2014
PER,Peru,147906,Youth not in school or employment (% ages 15-24),16.79,2014
PER,Peru,148206,Labour force participation rate (% ages 15 and older),76.84,2014
PER,Peru,148306,Employment to population ratio (% ages 15 and older),74.563,2014
PER,Peru,149206,Government expenditure on education (% of GDP),3.69242,2014
PER,Peru,150606,Employment in agriculture (% of total employment),28.033,2014
PER,Peru,150706,Employment in services (% of total employment),55.601,2014
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),12.114,2014
PER,Peru,164406,Adjusted net savings (% of GNI),11.235005,2014
PER,Peru,169706,Total unemployment rate (female to male ratio),1.071104915,2014
PER,Peru,169806,Youth unemployment rate (female to male ratio),1.051963828,2014
PER,Peru,170006,Concentration index (exports) (value),0.226944953,2014
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",11.890525,2014
PER,Peru,174306,Fossil fuel energy consumption (% of total energy consumption),79.55568357,2014
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.68094296,2014
PER,Peru,175206,"Antenatal care coverage, at least one visit (%)",96.9,2014
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",74.6,2014
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",8.6,2014
PER,Peru,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),22.49697304,2014
PER,Peru,177706,Survival rate to the last grade of lower secondary general education (%),91.50456,2014
PER,Peru,178306,Gross capital formation (% of GDP),24.666121,2014
PER,Peru,179406,Skilled labour force (% of labour force),54.5893,2014
PER,Peru,179706,Ratio of education and health expenditure to military expenditure,5.483069,2014
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),90,2014
PER,Peru,181706,Rural population with access to electricity (%),72.767503,2014
PER,Peru,181806,Current health expenditure (% of GDP),4.997495,2014
PER,Peru,182106,"Malaria incidence (per 1,000 people at risk)",7.10217,2014
PER,Peru,182206,"Tuberculosis incidence (per 100,000 people)",125,2014
PER,Peru,182806,Population using safely managed drinking-water services (%),50,2014
PER,Peru,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",46.40000153,2014
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),59.79,2014
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.29207,2014
PER,Peru,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.13729,2014
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",66.88,2014
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",357.3857233,2014
PER,Peru,194906,GDP per capita (2017 PPP $),11877.08406,2014
PER,Peru,195206,Population using safely managed sanitation services (%),37,2014
PER,Peru,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.667583959,2014
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),11339.08906,2014
PER,Peru,195906,"Domestic material consumption per capita, (tonnes)",15.07775,2014
PER,Peru,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",50.17,2014
PER,Peru,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",16.02,2014
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),61.86509,2013
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",57.25761,2013
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",66.65043,2013
PER,Peru,24106,"Mean years of schooling, female (years)",8.3191,2013
PER,Peru,24206,"Mean years of schooling, male (years)",9.2986,2013
PER,Peru,31706,Share of seats in parliament (% held by women),21.53846154,2013
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",66.0112,2013
PER,Peru,43006,Vulnerable employment (% of total employment),49.88,2013
PER,Peru,43606,"Internet users, total (% of population)",39.2,2013
PER,Peru,44206,Total population (millions),29.773986,2013
PER,Peru,45106,Urban population (%),77,2013
